block_number,miner_reward,fee_recipient_eth_diff,miner,fee_recipient,coinbase_transfers,eth_sent_to_fee_recipient,gas_used,gas_price,effective_priority_fee
18906143,26266930457557262,26266930457557262,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,23929608625500,23929608625500,11552646,2273672235,2273672235
18906127,17198174872083536,17198174872083536,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0,0,3951334,4352498389,4352498389
18906024,35012647935754012,35012647935754012,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,5989277801088411,5989277801088411,18205428,1923198286,1923198286
18905954,16568493657199686,16568493657199686,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,1363731179320437,1363731179320437,12353320,1341217879,1341217879
18905924,18047287670546883,18047287670546883,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0,0,14664518,1230677180,1230677180
18905910,21134053884985528,21134053884985528,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0,0,11002278,1920879829,1920879829
18905842,32755913497428439,32755913497428439,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,4262685734960879,4262685734960879,10451359,3134129589,3134129589
18905837,33353138771880942,33353138771880942,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0,0,16761596,1989854592,1989854592
18905801,18236712348885784,18236712348885784,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,2153014756186258,2153014756186258,13966901,1305709287,1305709287
18905780,22652123389394069,22652123389394069,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,500411014191235,500411014191235,10684776,2120037274,2120037274
18905755,35594929581146978,35594929581146978,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0,0,20059154,1774498046,1774498046
